ClassGrade,Ageyears,Handed,Height_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Schoolwork_Pressure,Planned_Education_Level,Superpower,Preferred_Status,Role_Model_Type
10,15,Right-Handed,164,2,Bus,45,Dancing,800,500,900,800,200,1000,21.5,Same length,63,69,Ring finger,May,Spring,Mathematics and statistics,6,12,7,"Myspace, Facebook, other social networking sites, or blog",45,34,10,2,10,2,4,2,3,14,28,0,Very little,Undergraduate degree,Freeze time,Happy,Musician or singer
10,15,Right-Handed,162.5,3,Rail (Train/Tram/Subway),60,Martial Arts,1000,1000,1000,1000,1000,1000,21,Right foot,70,70,Same length,November,Fall,Mathematics and statistics,4,3,4,Text messaging,100,300,12,12,12,5,2,1,30,40,20,0,A lot,Graduate degree,Freeze time,Rich,Other
12,17,Right-Handed,63,1,Car,8,Soccer,900,800,700,700,400,200,27.5,Left foot,68,81,Ring finger,March,Fall,Art,8,9,4,Cell phone,7,7,35,0,1,18,15,0,21,2,21,4,Some,Graduate degree,Super strength,Happy,Relative
10,15,Right-Handed,176,2,Rail (Train/Tram/Subway),37,Hockey (Field),800,500,500,700,850,900,27,Same length,82,90,Ring finger,December,Winter,Other,7,9,5,In person,0,0,3,1,7,5,1,35,1,0,40,2,Some,Graduate degree,Freeze time,Healthy,Other
12,17,Right-Handed,160,1,Car,7,Dancing,738,920,850,877,909,888,25.5,Left foot,76,65,Index finger,September,Fall,History,8.5,8.5,3,Text messaging,15,17,3,1,15,6,3,1,5,3,7,4,A lot,Graduate degree,Telepathy,Happy,Other
12,17,Right-Handed,161,1,Car,10,Other,500,300,700,700,500,1000,23,Same length,90,75,Index finger,July,Fall,Science,6,8,7,"Myspace, Facebook, other social networking sites, or blog",9,13,10,3,15,0,7.5,0,30,3,10,10,Some,Graduate degree,Telepathy,Happy,Relative
12,17,Right-Handed,169,1,Bus,5,Bowling,1000,1000,1000,1000,487,626,24,Same length,9,9.4,Ring finger,April,Fall,Languages,5,10,3,Text messaging,100,600,2,1,40,5,0,0,6,3,16,5,A lot,Graduate degree,Freeze time,Famous,Coach or club leader
12,17,Right-Handed,161,1,Car,8,Running/Jogging,358,749,524,529,267,652,24,Same length,70,70,Same length,December,Summer,Science,8,8.5,5,Internet chat or instant messaging,5,5,2,0,7,5,12,0,2,0.5,2,3,A lot,Graduate degree,Telepathy,Happy,Sports person
9,16,Left-Handed,171,2,Rail (Train/Tram/Subway),30,Football (American),900,800,1000,700,0,100,24,Same length,71,76,Ring finger,September,Fall,Mathematics and statistics,5,9,9,In person,10,50,8,0,2,12,1,6,2,1,6,1,A lot,High school,Fly,Happy,Other
12,17,Right-Handed,157,1,Car,15,Running/Jogging,1000,1000,1000,1000,1000,1000,22,Same length,91,100,Ring finger,May,Fall,Mathematics and statistics,7,6,5,In person,10,20,0,0,4,0,2,0,1,1,2,0,A lot,Graduate degree,Telepathy,Happy,Teacher
