ClassGrade,Ageyears,Handed,Height_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Birth_month,Favorite_Season,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Schoolwork_Pressure,Planned_Education_Level
10,15,Right-Handed,164,2,Bus,45,May,Spring,Mathematics and statistics,6,12,7,45,34,10,2,10,2,4,2,3,14,28,0,Very little,Undergraduate degree
10,15,Right-Handed,162.5,3,Rail (Train/Tram/Subway),60,November,Fall,Mathematics and statistics,4,3,4,100,300,12,12,12,5,2,1,30,40,20,0,A lot,Graduate degree
10,15,Right-Handed,176,2,Rail (Train/Tram/Subway),37,December,Winter,Other,7,9,5,0,0,3,1,7,5,1,35,1,0,40,2,Some,Graduate degree
12,17,Right-Handed,160,1,Car,7,September,Fall,History,8.5,8.5,3,15,17,3,1,15,6,3,1,5,3,7,4,A lot,Graduate degree
12,17,Right-Handed,161,1,Car,10,July,Fall,Science,6,8,7,9,13,10,3,15,0,7.5,0,30,3,10,10,Some,Graduate degree
12,17,Right-Handed,169,1,Bus,5,April,Fall,Languages,5,10,3,100,600,2,1,40,5,0,0,6,3,16,5,A lot,Graduate degree
12,17,Right-Handed,161,1,Car,8,December,Summer,Science,8,8.5,5,5,5,2,0,7,5,12,0,2,0.5,2,3,A lot,Graduate degree
9,16,Left-Handed,171,2,Rail (Train/Tram/Subway),30,September,Fall,Mathematics and statistics,5,9,9,10,50,8,0,2,12,1,6,2,1,6,1,A lot,High school
12,17,Right-Handed,157,1,Car,15,May,Fall,Mathematics and statistics,7,6,5,10,20,0,0,4,0,2,0,1,1,2,0,A lot,Graduate degree
12,17,Right-Handed,180,2,Car,5,February,Summer,Mathematics and statistics,8,9,3,50,200,25,1,20,15,5,0,10,10,5,5,A lot,Graduate degree
10,15,Right-Handed,169,2,Rail (Train/Tram/Subway),35,September,Spring,History,6,11,3,75,110,1,1,28,2,1,1,13,4,20,1,A lot,Graduate degree
12,17,Left-Handed,180,2,Rail (Train/Tram/Subway),45,February,Summer,English,6,6.5,4,2,0,18,4,10,3,0,2,5,9,9,0,Some,Graduate degree
10,15,Right-Handed,175,2,Rail (Train/Tram/Subway),45,November,Fall,Languages,6,10,4,13,22,5,1,18,4,1,1,5,2,70,1,A lot,Other
9,14,Right-Handed,170,1,Rail (Train/Tram/Subway),34,September,Summer,Mathematics and statistics,1,12,3,1,0,0,6,1,0,0,12,12,2,24,5,A lot,Graduate degree
12,17,Right-Handed,165,2,Bus,15,January,Fall,Art,6,10,5,10,30,5,5,21,21,0,0,21,10,84,15,A lot,Graduate degree
11,16,Right-Handed,155,3,Car,15,October,Fall,Languages,7,8,3,150,150,3,1,12,5,0,0,5,7,15,4,A lot,Graduate degree
12,17,Right-Handed,171,2,Rail (Train/Tram/Subway),45,September,Summer,Social studies,4,6,5,50,80,15,8,20,10,4,0,15,3,20,0,A lot,Graduate degree
10,15,Right-Handed,170,2,Bus,45,,,,,,,,,,,,,,,,,,,,
10,15,Right-Handed,170,2,Rail (Train/Tram/Subway),45,September,Spring,Mathematics and statistics,7,9,4,40,1000,10,2,35,0,1,30,2,50,54,0,Some,Graduate degree
12,17,Right-Handed,173,1,Bus,30,,,,,,,,,,,,,,,,,,,,
12,17,Right-Handed,163,2,Car,6,September,Fall,Science,7,10,3,30,45,10,3,8,3,12,1,10,2,5,10,A lot,Graduate degree
12,17,Right-Handed,165,2,Bus,30,September,Spring,History,6,8,3,20,30,8,3,8,10,5,1,10,8,10,10,A lot,Other
12,18,Right-Handed,173,2,Rail (Train/Tram/Subway),27,January,Winter,Computers and technology,5,8,4,100,200,5,1,2,2,4,20,5,5,20,0,Some,Graduate degree
10,15,Right-Handed,167.6,2,Car,45,October,Summer,Science,6,8,3,0,0,0.2,0.2,3,2,0.5,2,0,0,1,1,A lot,Graduate degree
12,17,Right-Handed,158,1,Walk,15,August,Summer,History,8,12,3,1,0,3,0,25,5,0,10,0,0,5,0,Some,Graduate degree
12,16,Right-Handed,173.7,1,Walk,17,August,Summer,Art,7,8,4,60,63,24,8,8,6,4,0,5,3,20,2,Some,Undergraduate degree
12,17,Left-Handed,152,1,Car,10,May,Summer,Science,7,8.5,3,30,40,10,1,7,10,12,2,4,1,15,10,Very little,High school
12,17,Right-Handed,170,2,Car,10,,,,,,,,,,,,,,,,,,,,
10,15,Right-Handed,163,3,Car,45,November,Fall,History,5,8,4,200,200,14,21,21,6,0,0,28,20,20,0,A lot,Undergraduate degree
12,18,Right-Handed,152.4,1,Car,2,March,Summer,English,6,8,4,100,132,40,10,7,2,15,0,5,6,12,3,A lot,Graduate degree
11,16,Right-Handed,155,3,Car,15,October,Fall,Languages,7,8,3,150,150,3,1,12,5,0,0,5,7,15,4,A lot,Graduate degree
10,15,Right-Handed,176,2,Bus,15,August,Spring,History,8,8,2,100,150,50,30,2,20,1,1,100,100,50,50,Some,Graduate degree
12,17,Right-Handed,173,1,Car,10,March,Fall,Music,7,10,5,50,75,2,12,20,5,21,0,24,24,6,10,A lot,Graduate degree
11,16,Right-Handed,156.5,3,Other,7,September,Winter,Social studies,5.5,8,3,110,125,10,0.5,45,30,5,0,0.5,6,40,1,A lot,Graduate degree
12,17,Left-Handed,166,2,Rail (Train/Tram/Subway),50,,,Mathematics and statistics,6,12,4,A lot,A lot,12,0,6,4,5,14,20,20,30,0,Very little,Graduate degree
10,16,Right-Handed,172,1,Walk,25,September,Summer,Art,6,10,4,3,30,5,0,0,3,0,30,20,1,70,0,None,Some college
12,20,Right-Handed,157,1,Car,22,June,Spring,Computers and technology,6,10,8,50,50,3,1,16,15,0,10,20,1,35,2,A lot,Graduate degree
10,15,Right-Handed,173,2,Rail (Train/Tram/Subway),90,August,Summer,Music,6,8,10,20,38,35,1,20,24,1,6,35,35,60,6,A lot,Graduate degree
12,17,Right-Handed,166.5,1,Car,7,,,,,,,,,,,,,,,,,,,,
12,17,Right-Handed,170,1,Rail (Train/Tram/Subway),20,June,Fall,Mathematics and statistics,6.5,10,4,6,7,14,1,24,2,10,30,3,3,45,2,Some,Graduate degree
9,15,Right-Handed,154,2,Rail (Train/Tram/Subway),30,February,Winter,Physical education,5,5,6,idk,40,1,0,1,3,6,0,0,24,0,0,Some,Graduate degree
12,17,Right-Handed,170,1,Car,13,March,Summer,Art,9,5,5,50,70,0,0,2,6,0,0,12,6,14,1,Some,Graduate degree
12,18,Right-Handed,160.2,1,Walk,1,February,Winter,Mathematics and statistics,6,8,2,50,60,12,1,6,0,8,0,8,10,8,9,Very little,Undergraduate degree
12,18,Right-Handed,190,1,Rail (Train/Tram/Subway),45,,,,,,,,,,,,,,,,,,,,
12,18,Right-Handed,179,2,Rail (Train/Tram/Subway),30,January,Winter,Mathematics and statistics,6,9,4,,,,,,,,,,,,,A lot,Graduate degree
12,18,Right-Handed,125,3,Bus,15,August,Fall,Mathematics and statistics,6,10,5,5,10,5,4,3,10,1,0,30,5,40,10,Some,Undergraduate degree
12,18,Left-Handed,183,1,Bus,20,August,Summer,Science,7,9,4,25,50,10,2,5,3,3,4,1,2,2,3,A lot,Undergraduate degree
12,17,Right-Handed,157,2,Car,3,August,Summer,Mathematics and statistics,8,10,3,30,25,8,5,5,3,10,2,8,2,2,2,Some,Graduate degree
12,17,Right-Handed,162,1,Rail (Train/Tram/Subway),90,July,Summer,Mathematics and statistics,6,8,3,40,60,10,4,4,25,2,1,90,35,70,20,A lot,Other
10,15,Ambidextrous,172,2,Rail (Train/Tram/Subway),33,September,Spring,Art,5,13,13,75,68,0,1,8,0,0,0,3,2,4,0,A lot,Undergraduate degree
12,17,Right-Handed,163,2,Bicycle,12,December,Winter,Mathematics and statistics,6,8,5,,,,,,,,,,,,,,
12,18,Ambidextrous,174,2,Walk,130,August,Winter,Mathematics and statistics,4,10,3,,,1,1,2,4,1,4,1,3,1,3,A lot,Graduate degree
12,17,Right-Handed,163,1,Car,10,September,Fall,Art,6,8,4,6,25,1,0,12,1,20,0,20,3,1,5,Some,Undergraduate degree
12,17,Right-Handed,157,4,Car,10,May,Fall,Art,10,14,4,450,600,70,20,10,30,0,100,100,100,100,100,Some,Graduate degree
12,18,Right-Handed,157,1,Car,7,October,Fall,Social studies,7,9,3,150,200,6,1,14,12,0,0,10,28,30,24,Some,Graduate degree
10,15,Right-Handed,162,1,Rail (Train/Tram/Subway),40,May,Summer,Art,7,9,3,10,7,17,12,5,2,6,1,17,2,6,10,Some,Undergraduate degree
9,17,Right-Handed,153,2,Rail (Train/Tram/Subway),15,,,,,,,,,,,,,,,,,,,,
12,18,Left-Handed,158,1,Bus,35,July,Fall,Science,8,10,3,40,48,8,2,1,2,1,2,15,2,20,2,Very little,Graduate degree
11,18,Right-Handed,180.9,1,Bus,50,April,Summer,History,8,8,3,100,100,0,1,3,5,0,0,4,6,4,2,None,High school
10,15,Right-Handed,173,3,Car,10,May,Fall,Art,6,9,4,90,90,10,1,18,1,2,10,10,10,40,10,A lot,Graduate degree
12,17,Right-Handed,162.6,1,Car,5,May,Fall,Art,7,8,3,10,10,2,,,,,,,,,,,
10,15,Right-Handed,152.4,3,Rail (Train/Tram/Subway),90,,,,,,,,,,,,,,,,,,,,
12,17,Right-Handed,180,1,Car,5,,,,,,,,,,,,,,,,,,,,
12,16,Right-Handed,160,1,Car,15,,,,,,,,,,,,,,,,,,,,
