tripduration,age
61,54
61,38
61,38
61,48
61,25
62,52
62,38
62,54
62,30
63,30
63,48
64,38
65,35
65,35
65,35
65,25
66,38
67,41
67,25
68,25
68,21
68,36
68,54
68,27
69,61
69,51
69,38
69,38
70,38
70,38
71,33
71,52
72,53
72,38
73,42
73,51
73,58
73,40
74,54
74,38
75,35
75,37
75,37
75,38
76,61
76,34
77,44
78,32
78,35
78,34
79,25
79,48
79,58
79,38
80,48
80,54
81,32
81,30
81,37
81,31
81,21
82,34
82,49
82,31
82,40
82,36
82,40
82,33
83,32
83,46
83,25
83,54
83,58
84,60
85,61
85,38
86,61
86,44
86,34
86,38
86,31
86,30
86,54
87,37
88,55
88,44
88,54
88,44
89,31
89,39
89,45
89,54
89,38
90,41
90,57
90,23
90,25
90,54
90,44
91,33
91,44
91,31
91,34
91,39
91,39
91,30
91,41
92,32
92,40
92,44
92,36
92,33
93,26
93,47
93,26
93,26
93,33
93,50
94,47
94,25
94,35
94,47
94,25
94,61
94,54
94,32
94,61
95,37
95,38
95,28
95,58
95,32
96,32
96,32
96,27
96,52
97,57
97,23
98,54
98,29
98,47
98,30
99,30
99,37
100,37
100,38
100,32
101,30
101,33
101,54
101,32
101,58
102,34
102,31
102,54
103,58
103,32
103,60
103,61
103,38
103,54
103,34
103,44
103,57
103,32
104,45
104,38
104,34
105,35
105,30
105,30
106,38
106,32
106,30
106,37
106,59
106,30
106,54
106,59
106,57
107,52
107,58
107,34
107,31
107,49
107,52
107,32
108,26
108,23
108,31
108,27
108,40
108,32
108,32
109,35
109,34
109,38
110,47
110,26
110,31
110,28
110,37
110,57
111,34
111,32
111,57
111,26
111,23
111,32
111,31
111,30
111,34
112,25
112,36
112,44
112,52
112,25
112,38
112,54
113,33
113,28
113,25
113,31
113,38
113,60
113,30
113,46
113,54
114,31
114,47
114,26
114,32
114,58
114,42
114,67
114,42
115,40
115,32
115,34
115,40
115,35
115,40
115,54
115,26
115,50
115,52
115,23
115,57
115,31
115,46
116,32
116,47
116,30
116,53
116,30
116,48
116,52
116,26
116,58
116,52
117,26
117,30
117,34
117,26
117,51
117,54
117,44
117,31
118,28
118,65
118,38
118,44
118,37
118,25
118,58
118,61
119,32
119,30
119,40
119,48
119,51
119,34
119,30
119,32
119,30
120,37
120,46
120,26
120,43
120,29
120,26
120,57
120,57
120,30
121,55
121,34
121,34
121,31
121,25
121,57
121,37
121,44
121,30
121,40
122,33
122,33
122,38
122,33
122,34
122,32
122,33
122,30
122,32
122,28
123,25
123,56
123,39
123,32
123,32
123,47
123,38
123,44
124,38
124,54
124,54
124,34
124,35
124,30
124,54
124,30
124,38
124,26
124,25
124,21
124,54
124,42
124,31
125,46
125,34
125,44
125,35
125,30
125,61
125,25
125,34
125,44
125,28
126,53
126,29
126,32
126,72
126,30
126,40
126,38
126,49
127,40
127,40
127,40
127,29
127,38
127,30
127,32
127,61
127,25
127,58
127,53
127,25
127,51
128,44
128,46
128,51
128,33
128,33
128,44
128,44
128,30
128,35
129,32
129,30
129,38
129,44
129,30
129,46
129,35
129,38
129,44
129,45
129,38
130,32
130,30
130,30
130,72
130,61
130,39
130,30
130,38
130,49
130,53
130,59
131,40
131,30
131,52
131,51
131,54
131,46
131,52
131,54
131,44
131,26
132,34
132,37
132,44
132,32
132,25
132,40
132,52
132,54
132,26
132,44
133,29
133,34
133,32
133,31
133,54
133,36
133,32
133,28
133,40
133,53
134,57
134,30
134,33
134,53
134,33
134,44
134,38
134,72
135,33
135,32
135,46
135,31
135,32
135,36
135,54
135,54
136,51
136,46
136,41
136,23
136,57
136,32
136,39
136,34
136,52
136,40
136,44
136,26
136,53
137,32
137,36
137,26
137,36
137,26
137,32
137,65
137,57
137,46
137,36
137,46
137,46
137,38
137,36
137,25
137,32
137,38
137,32
138,26
138,33
138,32
138,26
138,44
138,30
138,51
138,34
138,54
138,38
138,41
139,46
139,38
139,38
139,30
139,39
139,31
139,52
139,36
139,44
140,40
140,34
140,51
140,40
140,57
140,48
140,38
140,54
140,58
140,53
140,39
141,30
141,26
141,31
141,30
141,30
141,33
141,38
141,57
142,32
142,46
142,30
142,35
142,46
142,38
142,57
142,54
143,28
143,51
143,40
143,34
143,40
143,34
143,32
143,53
143,54
143,38
143,38
144,32
144,30
144,31
144,40
144,46
144,30
144,36
144,54
144,38
144,38
144,34
144,29
144,40
144,26
144,31
145,53
145,33
145,38
145,25
145,29
145,41
145,44
145,27
145,40
145,36
145,50
145,31
145,24
146,32
146,29
146,28
146,31
146,36
146,48
146,54
146,44
146,29
146,38
147,40
147,25
147,28
147,31
147,61
147,40
147,30
147,33
147,45
147,52
147,25
147,35
147,59
148,34
148,43
148,36
148,32
148,38
148,29
148,54
148,28
148,51
148,26
148,54
148,35
148,30
148,38
149,35
149,40
149,29
149,52
149,33
149,53
149,27
149,25
149,30
149,62
149,30
149,37
149,57
149,38
149,46
149,44
150,32
150,44
150,35
150,32
150,38
150,40
150,40
150,48
150,31
150,38
150,56
150,34
150,42
150,23
150,63
151,52
151,29
151,61
151,47
151,35
151,54
151,38
151,25
151,32
151,41
151,38
151,40
152,32
152,54
152,52
152,33
152,31
152,32
152,38
152,46
152,34
152,51
152,46
152,46
152,57
152,24
152,38
152,26
152,31
152,37
153,53
153,23
153,38
153,36
153,34
153,38
153,25
153,61
153,35
153,31
154,65
154,37
154,31
154,31
154,54
154,38
154,52
154,40
154,44
154,44
154,28
155,34
155,52
155,44
155,35
155,35
155,37
155,46
155,39
155,46
155,38
155,33
155,32
156,46
156,54
156,33
156,38
156,65
156,52
156,32
156,57
156,27
156,49
156,29
156,54
156,31
156,54
156,53
156,32
156,38
156,39
156,49
156,38
157,46
157,53
157,32
157,31
157,38
157,44
157,34
157,52
157,38
157,34
157,46
158,57
158,35
158,65
158,40
158,51
158,43
158,57
159,62
159,49
159,51
159,46
159,51
159,44
159,34
159,34
159,27
160,32
160,23
160,61
160,68
160,40
160,28
160,51
160,51
160,31
160,60
160,52
160,46
160,40
160,32
160,34
160,30
161,30
161,29
161,28
161,54
161,28
161,25
161,36
161,40
161,44
161,52
161,35
161,44
161,25
161,51
161,39
161,34
161,51
161,54
161,52
161,32
161,21
161,63
162,51
162,52
162,26
162,46
162,49
162,40
162,33
162,32
162,25
162,52
163,54
163,23
163,32
163,52
163,54
163,36
163,57
163,32
163,38
163,30
163,38
163,23
164,62
164,38
164,46
164,51
164,51
164,38
164,23
164,35
164,35
164,33
164,57
164,35
164,32
164,38
165,35
165,46
165,32
165,32
165,47
165,44
165,42
165,31
165,54
165,40
165,32
165,33
165,29
166,48
166,23
166,32
166,41
166,40
166,33
166,34
166,25
166,55
166,23
166,35
166,52
166,30
166,30
166,40
166,53
166,34
166,25
167,32
167,32
167,43
167,44
167,24
167,38
167,39
167,44
167,33
167,31
168,35
168,36
168,41
168,53
168,38
168,36
168,38
168,27
168,34
168,26
168,52
168,35
168,64
168,42
169,38
169,40
169,53
169,31
169,38
169,38
169,34
169,35
169,45
169,38
169,25
169,23
170,39
170,41
170,31
170,33
170,46
170,54
170,30
170,52
170,52
170,31
170,34
171,38
171,59
171,30
171,35
171,32
171,54
171,57
171,49
171,46
171,32
171,42
171,40
171,32
171,52
172,46
172,37
172,43
172,35
172,32
172,38
172,51
172,38
172,36
172,30
172,40
172,28
172,46
172,44
172,72
172,34
173,38
173,23
173,34
173,38
173,35
173,54
173,52
173,34
173,31
173,57
173,31
173,27
173,38
173,31
174,37
174,48
174,35
174,32
174,43
174,57
174,54
174,32
174,32
174,32
174,46
174,38
174,25
174,52
174,54
174,51
174,38
174,37
174,25
174,37
174,39
174,67
175,39
175,60
175,53
175,61
175,31
175,44
175,40
175,40
175,53
175,32
175,52
175,33
176,44
176,52
176,34
176,35
176,44
176,52
176,54
176,36
176,25
176,25
176,40
176,27
176,54
177,40
177,57
177,34
177,55
177,40
177,43
177,31
177,35
177,31
177,38
177,37
178,29
178,44
178,23
178,30
178,61
178,33
178,57
179,40
179,38
179,43
179,57
179,54
179,36
179,34
179,38
179,34
179,35
179,29
179,25
179,33
179,34
179,23
180,23
180,31
180,33
180,48
180,23
180,61
180,30
180,52
180,54
180,30
180,41
180,35
180,47
180,44
181,26
181,59
181,44
181,35
181,38
181,53
181,26
181,65
181,27
181,37
181,33
181,27
181,51
182,54
182,25
182,32
182,53
182,29
182,44
182,32
182,26
182,38
182,31
182,35
182,37
182,34
182,38
182,39
182,44
182,45
182,42
183,40
183,65
183,34
183,34
183,46
183,35
183,44
183,54
183,54
183,29
183,34
184,34
184,46
184,38
184,48
184,32
184,38
184,43
184,34
184,44
184,59
184,54
184,27
184,40
184,46
185,25
185,32
185,63
185,30
185,44
185,54
185,23
185,35
185,32
185,23
185,35
185,52
185,30
185,46
185,51
185,27
186,25
186,37
186,49
186,26
186,29
186,34
186,32
186,61
186,35
186,23
186,61
186,25
186,30
186,21
187,40
187,38
187,46
187,34
187,36
187,35
187,52
187,57
187,61
187,37
188,23
188,39
188,61
188,30
188,58
188,49
188,30
188,34
188,54
188,30
188,52
188,23
188,28
188,31
189,26
189,36
189,30
189,52
189,42
189,57
189,39
189,40
189,35
189,29
189,69
189,29
189,35
189,35
189,47
189,34
190,39
190,36
190,44
190,38
190,31
190,55
190,49
190,32
190,35
190,34
190,28
190,55
190,38
190,30
190,43
190,35
190,23
190,31
190,31
191,43
191,34
191,33
191,44
191,44
191,38
191,48
191,36
191,35
191,32
191,39
191,47
191,35
192,28
192,32
192,34
192,35
192,32
192,35
192,28
192,32
192,32
192,52
192,67
192,44
192,32
192,57
192,32
193,54
193,34
193,32
193,39
193,26
193,25
193,40
193,28
193,52
193,36
193,32
193,42
193,57
193,30
193,25
193,34
193,23
193,36
194,39
194,34
194,42
194,54
194,38
194,32
194,43
194,34
194,42
194,37
194,40
194,69
194,34
194,30
194,39
194,31
194,61
194,65
194,38
194,37
194,52
194,26
195,30
195,34
195,43
195,34
195,54
195,40
195,43
195,48
195,57
195,26
195,61
195,38
195,31
195,57
195,51
195,34
195,31
196,55
196,34
196,68
196,51
196,28
196,37
196,52
196,30
196,25
196,23
196,36
196,40
197,30
197,35
197,28
197,57
197,35
197,33
197,40
197,41
197,51
197,29
197,33
197,28
197,36
197,32
197,39
197,32
197,28
197,37
198,41
198,36
198,39
198,31
198,57
198,41
198,37
198,67
198,33
198,35
198,54
198,51
198,38
198,48
198,56
198,32
198,27
198,23
198,41
199,37
199,32
199,40
199,30
199,43
199,39
199,54
199,28
199,37
199,39
200,40
200,23
200,30
200,37
200,23
200,44
200,40
200,41
200,32
200,41
200,25
200,31
200,29
200,57
201,27
201,31
201,34
201,41
201,43
201,41
201,38
201,35
201,42
201,55
201,26
201,30
201,35
201,52
201,30
201,35
201,62
201,31
202,35
202,27
202,43
202,27
202,55
202,30
202,54
202,62
202,27
202,35
202,32
202,52
202,41
202,34
203,29
203,61
203,25
203,44
203,30
203,26
203,51
203,30
203,41
203,38
203,31
204,30
204,38
204,37
204,26
204,34
204,28
204,40
204,35
204,24
204,53
204,35
204,38
204,52
204,41
204,29
204,37
204,30
205,36
205,29
205,29
205,52
205,36
205,34
205,37
205,30
205,31
205,32
205,31
206,21
206,28
206,44
206,27
206,54
206,30
206,35
206,26
206,61
206,47
206,41
206,34
206,37
207,35
207,31
207,37
207,37
207,52
207,32
207,61
207,38
207,33
207,44
207,28
207,68
207,31
207,62
207,23
207,32
208,34
208,35
208,45
208,52
208,48
208,32
208,41
208,48
208,31
208,36
208,33
208,54
208,26
208,30
208,38
208,37
209,42
209,32
209,45
209,57
209,21
209,53
209,61
209,41
209,40
209,44
209,21
209,34
209,30
209,55
209,65
209,35
209,57
209,32
209,46
209,30
209,54
210,35
210,61
210,30
210,39
210,37
210,39
210,33
210,52
210,51
210,25
210,37
210,51
211,58
211,52
211,32
211,60
211,65
211,40
211,33
211,41
211,39
211,29
211,30
211,32
211,30
211,30
211,57
211,27
211,30
211,31
211,41
211,38
212,45
212,34
212,32
212,44
212,32
212,49
212,32
212,41
212,61
212,44
212,48
212,29
213,41
213,29
213,42
213,40
213,41
213,29
213,30
213,51
213,57
213,41
214,61
214,28
214,57
214,57
214,54
214,27
214,30
214,46
214,41
214,52
214,26
214,41
214,57
214,40
214,54
214,35
214,31
214,34
214,62
214,37
214,47
214,51
214,35
215,62
215,23
215,25
215,30
215,34
215,57
215,38
215,38
215,54
215,38
215,38
215,41
215,32
215,61
215,31
215,44
216,51
216,32
216,32
216,46
216,31
216,61
216,28
216,37
216,25
216,38
216,43
216,32
217,35
217,30
217,35
217,41
217,28
217,32
217,54
217,61
217,33
217,36
217,39
217,37
217,20
217,32
217,38
217,30
217,40
217,38
218,40
218,36
218,36
218,33
218,62
218,63
218,33
218,41
218,25
218,40
218,32
218,32
218,52
218,33
218,38
218,37
218,33
218,54
218,41
218,58
218,42
219,30
219,61
219,41
219,53
219,36
219,53
219,29
219,36
219,35
219,34
219,27
219,52
219,43
220,26
220,46
220,38
220,48
220,37
220,36
220,55
220,26
220,39
220,33
220,54
220,52
220,30
220,46
220,33
220,47
220,43
220,57
220,39
220,25
220,72
220,33
221,62
221,30
221,32
221,28
221,43
221,32
221,48
221,52
221,37
221,28
221,46
221,54
221,30
221,51
222,61
222,52
222,46
222,23
222,40
222,46
222,59
222,63
222,34
222,21
222,30
222,51
223,35
223,26
223,50
223,32
223,52
223,35
223,42
223,31
223,31
223,49
223,30
223,23
223,32
223,38
223,62
